distance_m,lon,lat,elevation_m
12030.00,515744.188235,5406114.259879,219.00
12060.00,515731.289997,5406089.602504,220.00
12090.00,515710.076794,5406068.389301,220.00
12120.00,515688.863590,5406047.176097,219.00
12150.00,515667.650387,5406025.962894,218.00
12180.00,515646.437183,5406004.749690,218.00
12210.00,515625.223980,5405983.536487,217.00
12240.00,515604.010776,5405962.323283,217.00
12270.00,515582.797573,5405941.110080,219.00
12300.00,515561.584370,5405919.896877,219.00
12330.00,515540.371166,5405898.683673,221.00
12360.00,515519.157963,5405877.470470,221.00
12390.00,515497.944759,5405856.257266,218.00
12420.00,515476.731556,5405835.044063,215.00
12450.00,515455.518352,5405813.830859,215.00
12480.00,515434.305149,5405792.617656,216.00
12510.00,515413.091945,5405771.404453,217.00
12540.00,515401.394440,5405746.249718,216.00
12570.00,515387.979240,5405721.806476,218.00
12600.00,515376.909168,5405696.391849,220.00
12630.00,515362.866534,5405672.208499,220.00
12660.00,515352.423897,5405646.533981,219.00
12690.00,515352.423897,5405616.533981,219.00
12720.00,515353.679767,5405587.054179,219.00
12750.00,515374.892971,5405565.840976,219.00
12780.00,515396.106174,5405544.627772,220.00
12810.00,515401.394440,5405516.818244,219.00
12840.00,515401.394440,5405486.818244,217.00
12870.00,515401.394440,5405456.818244,217.00
12900.00,515401.394440,5405426.818244,214.00
12930.00,515415.603685,5405402.703906,214.00
12960.00,515436.816889,5405381.490702,214.00
12990.00,515450.364982,5405357.102506,215.00
13020.00,515450.364982,5405327.102506,212.00
13050.00,515434.900867,5405303.507952,212.00
13080.00,515425.879711,5405277.244638,213.00
13110.00,515409.788161,5405253.909976,217.00
13140.00,515388.574958,5405232.696772,219.00
13170.00,515367.361754,5405211.483569,219.00
13200.00,515352.423897,5405187.671032,221.00
13230.00,515352.423897,5405157.671032,223.00
13260.00,515352.423897,5405127.671032,223.00
13290.00,515334.450044,5405105.116045,223.00
13320.00,515313.236841,5405083.902842,223.00
13350.00,515287.289293,5405074.119357,225.00
13380.00,515263.638864,5405058.790136,226.00
13410.00,515242.425661,5405037.576933,226.00
13440.00,515221.212457,5405016.363730,225.00
13470.00,515197.715687,5405000.663543,226.00
13500.00,515171.614480,5404991.251024,223.00
13530.00,515147.857818,5404976.178272,224.00
13560.00,515122.016504,5404966.138318,223.00
13590.00,515100.803300,5404944.925115,225.00
13620.00,515079.590097,5404923.711911,225.00
13650.00,515058.376893,5404902.498708,225.00
13680.00,515037.163690,5404881.285504,225.00
13710.00,515015.950486,5404860.072301,228.00
13740.00,514988.568475,5404853.751917,230.00
13770.00,514958.568475,5404853.751917,230.00
13800.00,514928.568475,5404853.751917,227.00
13830.00,514898.568475,5404853.751917,221.00
13860.00,514868.568475,5404853.751917,223.00
13865.85,514862.718476,5404853.751917,223.00
